### AFTER2-prod-article :: https://hellokahwin.com/artikel/hantaran-mas-kahwin/duit-hantaran-kahwin :: Slow 3G (400kbps, 400ms RTT)
  ms   imgs  painted  blurred  flatPlates
  4435   (document not yet parsed)
  5177    11        0        9           2
  5882    11        0        9           2
  6598    11        0        9           2
  7299    11        0        9           2
  8001    11        0        9           2
  8714    11        0        9           2
  9430    11        0        9           2
